(z2,s3,pot_s3,s2,pot_s2,z1,s1,pot_s1,s0)
551:(1,0,9,1,12,1,0,0,1)
552:(1,1,9,0,0,1,0,0,0)
553:(1,1,9,0,0,1,0,0,1)
554:(1,1,9,0,3,1,0,0,0)
555:(1,1,9,0,3,1,0,0,1)
556:(1,1,9,0,6,1,0,0,0)
557:(1,1,9,0,6,1,0,0,1)
558:(1,1,9,0,9,1,0,0,0)
559:(1,1,9,0,9,1,0,0,1)
560:(1,1,9,1,9,1,0,0,0)
561:(1,1,9,1,9,1,0,0,1)
562:(1,1,9,1,12,1,0,0,0)
563:(1,1,9,1,12,1,0,0,1)
564:(1,1,12,0,0,1,0,0,0)
565:(1,1,12,0,0,1,0,0,1)
566:(1,1,12,0,3,1,0,0,0)
567:(1,1,12,0,3,1,0,0,1)
568:(1,1,12,0,6,1,0,0,0)
569:(1,1,12,0,6,1,0,0,1)
570:(1,1,12,0,9,1,0,0,0)
571:(1,1,12,0,9,1,0,0,1)
572:(1,1,12,1,9,1,0,0,0)
573:(1,1,12,1,9,1,0,0,1)
574:(1,1,12,1,12,1,0,0,0)
575:(1,1,12,1,12,1,0,0,1)
